freq,qty_sum,n_products,revenue_sum,avg_price,avg_margin,returns_total,age,annual_income,number_dependents,education_level,occupation,marital_status,homeowner,orders_2020,orders_2021,orders_trend,value_per_order,returns_rate,margin_x_returns
1,5,2,166.96,41.74,0.328997995991984,371.0,46,30000.0,0.0,Partial College,Clerical,S,N,0.0,0.0,0.0,166.96,1.0,0.0
1,8,3,875.1243000000001,175.02486000000002,0.5971244355191538,191.0,62,60000.0,1.0,Partial College,Skilled Manual,M,Y,0.0,0.0,0.0,875.1243000000001,1.0,0.0
1,3,1,4.99,4.99,0.6259919839679359,69.0,47,40000.0,0.0,High School,Skilled Manual,S,Y,0.0,0.0,0.0,4.99,1.0,0.0
1,4,3,100.09,33.36333333333334,0.6259966583124478,160.0,60,30000.0,4.0,Graduate Degree,Clerical,S,Y,0.0,0.0,0.0,100.09,1.0,0.0
1,9,2,88.25,17.65,0.6259825327510917,443.0,66,80000.0,2.0,Partial High School,Skilled Manual,S,Y,0.0,0.0,0.0,88.25,1.0,0.0
1,6,4,1263.82,315.955,0.5640965896175211,504.0,56,30000.0,1.0,Bachelors,Skilled Manual,M,Y,0.0,2.0,2.0,1263.82,1.0,0.0
1,9,2,164.97,54.99,0.6259992725950173,270.0,70,130000.0,4.0,High School,Professional,M,Y,1.0,0.0,-1.0,164.97,1.0,0.0
1,4,2,2214.0682,553.5170499999999,0.5845852272999017,171.0,53,30000.0,0.0,Bachelors,Clerical,M,Y,0.0,1.0,1.0,2214.0682,1.0,0.0
1,4,2,1162.4075,290.601875,0.2711539139126632,86.0,54,20000.0,1.0,Partial College,Manual,M,Y,0.0,0.0,0.0,1162.4075,1.0,0.0
1,8,2,36.95,9.2375,0.6259942154554787,568.0,66,40000.0,1.0,Partial College,Clerical,M,Y,0.0,0.0,0.0,36.95,1.0,0.0
1,3,2,58.98,29.49,0.427995991983968,304.0,75,70000.0,2.0,Partial College,Professional,S,Y,0.0,0.0,0.0,58.98,1.0,0.0
