,OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
0,2020-02-23,2019-11-01,SO45478,313,29354,1.0,,1.0
1,2020-03-22,2020-02-05,SO45719,350,20000,6.0,1.0,1.0
2,2020-05-12,2020-02-22,SO46185,314,15632,10.0,1.0,1.0
3,2020-07-04,2020-05-28,SO46705,370,13085,1.0,1.0,1.0
4,2020-12-24,2020-11-12,SO48661,332,15467,4.0,1.0,1.0
5,2020-07-13,,SO46780,379,12942,4.0,1.0,1.0
6,2020-09-13,2020-05-26,SO47536,387,14088,1.0,1.0,1.0
7,2020-05-19,2020-03-29,SO46249,347,12000,9.0,1.0,1.0
8,2020-06-06,2020-02-21,SO46427,350,20182,6.0,,1.0
9,2020-07-04,2020-06-06,SO46708,377,21200,9.0,1.0,1.0
10,2020-07-05,2020-03-13,SO46714,368,13093,1.0,1.0,1.0
11,2020-01-14,2019-12-08,SO45149,314,14941,10.0,1.0,1.0
12,2020-10-12,2020-09-23,SO47807,379,16575,10.0,1.0,1.0
13,2020-08-19,,SO47221,370,13823,7.0,1.0,1.0
14,2020-09-24,2020-07-20,SO47613,387,14037,4.0,1.0,1.0
15,2020-11-26,,SO48245,354,12129,8.0,1.0,1.0
16,2020-04-13,2019-12-18,SO45893,313,23842,6.0,1.0,1.0
17,2020-08-13,2020-06-18,SO47167,375,13419,1.0,1.0,1.0
18,2020-10-23,2020-07-23,SO47899,358,12996,9.0,1.0,1.0
19,2020-07-13,2020-04-28,SO46783,336,19069,7.0,1.0,1.0
20,2020-05-22,,SO46268,311,20615,9.0,,1.0
21,2020-08-11,,SO47150,370,15625,8.0,1.0,1.0
22,2020-11-29,2020-09-19,SO48274,370,22404,9.0,1.0,1.0
23,2020-06-18,2020-04-29,SO46501,328,19518,8.0,1.0,1.0
24,2020-01-16,2019-12-08,SO45169,314,18766,9.0,1.0,1.0
25,2020-06-15,,SO46485,313,12755,4.0,1.0,1.0
26,2020-12-12,2020-10-09,SO48524,377,15082,7.0,1.0,1.0
27,2020-08-28,2020-08-13,SO47319,370,13299,4.0,,1.0
28,2020-03-02,2019-11-28,SO45587,310,11531,4.0,1.0,1.0
29,2020-12-09,,SO48490,381,24913,9.0,,1.0
30,2020-05-11,2020-02-04,SO46182,346,11995,,1.0,1.0
31,2020-06-25,2020-03-24,SO46567,313,12707,1.0,1.0,1.0
32,2020-10-31,2020-07-04,SO47956,369,16271,8.0,,1.0
33,2020-03-13,,SO45658,312,11270,4.0,1.0,1.0
34,2020-08-19,2020-06-08,SO47223,370,25875,6.0,,1.0
35,2020-04-18,2020-03-08,SO45931,310,20249,9.0,,1.0
36,2020-02-22,2019-12-21,SO45476,314,19614,9.0,1.0,1.0
37,2020-04-05,2020-01-31,SO45843,312,11775,4.0,1.0,1.0
38,2020-05-25,2020-01-30,SO46286,338,18175,7.0,1.0,1.0
39,2020-12-26,2020-09-04,SO48680,340,27242,6.0,1.0,1.0
40,2020-05-24,2020-03-04,SO46279,312,12155,1.0,1.0,1.0
41,2020-05-26,2020-02-21,SO46296,314,12170,4.0,1.0,1.0
42,2020-02-10,2020-01-13,SO45405,312,23209,6.0,1.0,1.0
43,2020-09-04,2020-07-23,SO47480,371,21568,9.0,1.0,1.0
44,2020-08-07,2020-05-25,SO47128,368,21556,9.0,,1.0
45,2020-06-20,2020-03-22,SO46526,347,12253,9.0,1.0,1.0
46,2020-12-15,,SO48566,375,22906,9.0,,1.0
47,2020-07-03,,SO46694,373,13220,4.0,1.0,1.0
48,2020-06-24,2020-05-07,,311,14978,8.0,,1.0
49,2020-09-08,,SO47500,369,21951,9.0,1.0,1.0
50,2020-02-15,,SO45441,312,11216,1.0,,1.0
51,2020-05-15,,SO46211,328,18163,7.0,1.0,1.0
52,2020-07-20,,,371,13174,1.0,1.0,1.0
53,2020-08-13,,SO47170,377,21228,9.0,,1.0
54,2020-03-22,2020-03-02,SO45721,345,11766,9.0,1.0,1.0
55,2020-03-16,2020-02-26,SO45682,312,19950,9.0,1.0,1.0
56,2020-03-31,2019-12-16,SO45778,351,26002,1.0,1.0,1.0
57,2020-01-03,,SO45091,314,18909,9.0,1.0,1.0
58,2020-07-03,,SO46693,373,13210,4.0,1.0,1.0
59,2020-04-06,2020-03-09,SO45848,340,14852,4.0,1.0,1.0
60,2020-12-13,2020-11-27,SO48539,377,22921,9.0,1.0,1.0
61,2020-05-25,2020-04-07,SO46293,311,14951,8.0,1.0,1.0
62,2020-01-19,2019-12-03,SO45189,310,29145,1.0,1.0,1.0
63,2020-09-24,2020-08-25,SO47615,342,15329,4.0,1.0,1.0
64,2020-02-03,2019-11-23,SO45361,312,23057,6.0,1.0,1.0
65,2020-01-29,2019-11-03,SO45246,310,18709,9.0,1.0,1.0
66,2020-12-25,2020-10-09,SO48673,360,13131,9.0,1.0,1.0
67,2020-05-11,2020-02-04,SO46182,346,11995,,1.0,1.0
68,2020-12-30,,SO48722,369,22937,9.0,1.0,1.0
69,2020-01-30,2020-01-15,SO45257,314,18718,9.0,1.0,1.0
70,2020-12-11,,SO48511,362,26635,4.0,1.0,1.0
71,2020-10-10,2020-08-24,SO47790,371,22173,9.0,1.0,1.0
72,2020-08-31,2020-06-24,SO47341,368,25104,6.0,1.0,1.0
73,2020-09-06,,SO47490,371,21895,9.0,1.0,1.0
74,2020-10-26,2020-08-07,SO47923,358,26486,,1.0,1.0
75,2020-03-04,2020-01-28,SO45608,349,11896,9.0,1.0,1.0
76,2020-12-20,2020-09-03,SO48619,369,22934,,1.0,1.0
77,2020-12-27,2020-11-23,SO48690,360,13130,9.0,1.0,1.0
78,2020-12-29,2020-12-03,SO48714,377,23104,9.0,1.0,1.0
79,2020-06-19,2020-03-16,,313,24418,6.0,1.0,1.0
80,2020-05-11,2020-02-04,SO46182,346,11995,,1.0,1.0
81,2020-06-05,,SO46420,313,13511,7.0,1.0,1.0
82,2020-04-23,2020-01-15,SO45966,345,11946,9.0,1.0,1.0
83,2020-12-31,2020-12-02,SO48724,340,20722,8.0,1.0,1.0
84,2020-07-01,2020-04-18,SO46676,385,18047,8.0,1.0,1.0
85,2020-02-03,2019-11-25,SO45362,313,19271,9.0,1.0,1.0
86,2020-06-26,2020-02-27,SO46574,348,12243,9.0,1.0,1.0
87,2020-06-07,2020-02-09,SO46431,310,12901,1.0,,1.0
88,2020-11-12,2020-07-27,SO48164,328,26438,9.0,1.0,1.0
89,2020-09-24,2020-07-13,SO47614,330,15302,4.0,1.0,1.0
90,2020-11-10,2020-08-17,SO48144,370,16823,10.0,1.0,1.0
91,2020-07-06,2020-05-22,SO46729,320,26019,9.0,1.0,1.0
92,2020-07-03,2020-05-23,SO46696,370,21166,9.0,1.0,1.0
93,2020-04-28,,SO45994,311,11774,4.0,1.0,1.0
94,2020-04-15,2020-03-14,SO45898,310,23830,6.0,,1.0
95,2020-06-05,,SO46419,344,12021,9.0,1.0,1.0
96,2020-05-26,2020-04-04,SO46300,314,20452,9.0,1.0,1.0
97,2020-03-24,,SO45733,311,11624,4.0,1.0,1.0
98,2020-07-14,,SO46791,369,13016,1.0,1.0,1.0
99,2020-03-23,,SO45725,312,14789,8.0,1.0,1.0
100,2020-12-22,2020-12-04,SO48641,354,13524,9.0,,1.0
101,2020-06-07,,SO46432,342,15016,4.0,1.0,1.0
102,2020-12-22,,SO48633,338,20875,10.0,1.0,1.0
103,2020-05-24,,SO46278,326,19496,8.0,,1.0
104,2020-05-06,,SO46148,310,12052,4.0,1.0,1.0
105,2020-06-24,2020-05-12,SO46559,310,12762,4.0,1.0,1.0
106,2020-11-14,2020-07-26,SO48169,377,13653,1.0,1.0,1.0
107,2020-06-10,2020-03-05,SO46457,324,25947,9.0,1.0,1.0
108,2020-06-04,2020-04-14,,311,24493,6.0,,1.0
109,2020-04-15,2019-12-22,SO45899,310,11817,4.0,1.0,1.0
110,2020-04-04,2020-03-08,SO45837,348,26050,1.0,1.0,1.0
111,2020-08-12,2020-05-12,SO47161,375,21408,9.0,1.0,1.0
112,2020-08-26,2020-07-28,SO47293,385,19192,10.0,1.0,1.0
113,2020-09-25,2020-06-28,SO47625,377,21958,9.0,,1.0
114,2020-07-22,2020-07-07,SO46859,370,13205,4.0,1.0,1.0
115,2020-02-26,2019-11-25,SO45507,314,19616,9.0,1.0,1.0
116,2020-11-16,2020-08-23,SO48181,370,13705,1.0,1.0,1.0
117,2020-08-15,2020-05-09,SO47192,371,16328,10.0,1.0,1.0
118,2020-03-24,2019-12-24,SO45734,314,11630,1.0,1.0,1.0
119,2020-08-01,2020-04-21,SO47075,360,12685,9.0,1.0,1.0
120,2020-12-15,,SO48565,358,26604,,1.0,1.0
121,2020-07-22,2020-05-02,SO46858,370,13067,1.0,1.0,1.0
122,2020-12-01,2020-09-30,SO48403,383,14285,4.0,1.0,1.0
123,2020-01-14,2019-12-24,SO45154,313,18767,9.0,1.0,1.0
124,2020-10-06,2020-06-29,SO47768,371,21985,9.0,1.0,1.0
125,2020-08-04,2020-06-28,SO47093,369,13380,4.0,,1.0
126,2020-06-26,2020-03-08,SO46572,314,13552,7.0,,1.0
127,2020-02-19,2019-11-13,SO45456,312,23113,6.0,1.0,1.0
128,2020-01-27,,SO45234,328,18009,7.0,1.0,1.0
129,2020-07-27,2020-05-05,,368,12921,4.0,,1.0
130,2020-05-07,2020-02-18,SO46157,345,26056,,1.0,1.0
131,2020-01-21,2020-01-05,SO45200,311,29148,4.0,1.0,1.0
132,2020-09-24,,SO47620,352,12239,10.0,1.0,1.0
133,2020-03-16,2019-12-18,SO45678,313,11281,4.0,1.0,1.0
134,2020-08-13,2020-06-02,SO47173,356,12675,9.0,1.0,1.0
135,2020-01-24,2019-10-14,SO45219,313,22893,6.0,,1.0
136,2020-02-19,2020-01-14,SO45459,310,19605,9.0,,1.0
137,2020-06-20,2020-03-13,SO46521,310,12770,4.0,1.0,1.0
138,2020-12-08,2020-08-15,SO48482,387,24912,9.0,1.0,1.0
