,order_date,stock_date,order_number,product_key,customer_key,territory_key,order_line_item,order_quantity,OrderDate,ProductKey,CustomerKey,OrderNumber
0,2021-09-21,2021-08-16,SO54754,487,11304,1,3,1,,,,
1,2021-12-21,2021-08-27,SO60490,232,12259,10,1,1,,,,
2,2021-08-25,2021-06-03,SO53070,539,14516,9,1,2,,,,
3,2021-09-11,2021-07-20,SO54170,528,11973,1,2,1,,,,
4,2021-09-19,2021-07-22,SO54642,220,19021,1,4,1,,,,
5,2021-03-26,2020-12-29,SO49769,356,27091,1,1,1,,,,
6,2021-03-16,2020-12-23,SO49687,371,16205,7,1,1,,,,
7,2021-10-07,2021-07-27,SO55700,540,14626,6,1,1,,,,
8,2021-12-12,2021-10-30,SO59844,530,28345,4,1,2,,,,
9,2021-04-14,2021-02-14,SO50031,342,19421,7,1,1,,,,
10,2021-12-15,2021-11-01,SO60108,541,23583,6,2,2,,,,
11,2021-10-09,2021-07-14,SO55823,540,20150,10,3,1,,,,
12,2021-08-19,2021-05-10,SO52785,540,19448,10,2,1,,,,
13,2021-09-26,2021-08-20,SO54987,480,11209,4,1,1,,,,
14,2021-08-25,2021-06-21,SO53081,373,23764,8,1,1,,,,
15,2021-12-13,2021-09-24,SO59953,462,14255,1,3,1,,,,
16,2021-11-19,2021-08-02,SO58230,537,11823,6,1,1,,,,
17,2021-09-26,2021-07-19,SO55015,593,19024,1,1,1,,,,
18,2021-08-28,2021-05-11,SO53242,215,11482,10,2,1,,,,
19,2021-11-25,2021-09-15,SO58547,480,18705,9,1,2,,,,
20,2021-10-22,2021-07-24,SO56492,529,20266,9,1,2,,,,
21,2021-12-19,2021-09-21,SO60375,232,24011,10,2,1,,,,
22,2021-07-04,2021-04-27,SO51225,223,20982,10,3,2,,,,
23,2021-10-05,2021-09-06,SO55591,232,12757,1,3,1,,,,
24,2021-11-27,2021-09-28,SO58660,478,22348,4,1,2,,,,
25,2021-12-05,2021-09-18,SO59393,530,26520,1,3,3,,,,
26,2021-12-06,2021-10-27,SO59438,537,14810,7,2,1,,,,
27,2021-11-07,2021-07-20,SO57552,478,21712,4,2,2,,,,
28,2021-02-05,2020-12-10,SO49219,362,12619,10,1,1,,,,
29,2021-12-18,2021-09-20,SO60257,583,21053,10,1,1,,,,
30,2021-11-19,2021-10-01,SO58206,541,26556,1,1,2,,,,
31,2021-01-15,2020-09-23,SO48919,326,26658,9,1,1,,,,
32,2021-07-30,2021-05-30,SO51661,220,20837,10,4,1,,,,
33,2021-08-04,2021-05-02,SO52024,477,19087,9,3,2,,,,
34,2021-04-11,2020-12-19,SO49993,369,17781,8,1,1,,,,
35,2021-06-28,2021-03-22,SO51055,340,19943,7,1,1,,,,
