,orderdate,stockdate,order_number,product_id,customer_key,territorykey,orderlineitem,orderquantity
0,2022-01-01,2021-12-13,SO61285,529,23791,1,2,2
1,2022-01-01,2021-09-24,SO61285,214,23791,1,3,1
2,2022-01-01,2021-09-04,SO61285,540,23791,1,1,1
3,2022-01-01,2021-09-28,SO61301,529,16747,1,2,2
4,2022-01-01,2021-10-21,SO61301,377,16747,1,1,1
5,2022-01-01,2021-10-23,SO61301,540,16747,1,3,1
6,2022-01-01,2021-09-04,SO61269,215,11792,4,1,1
7,2022-01-01,2021-10-21,SO61269,229,11792,4,2,1
8,2022-01-01,2021-10-24,SO61286,528,11530,6,2,2
9,2022-01-01,2021-09-27,SO61286,536,11530,6,1,2
10,2022-01-01,2021-10-23,SO61298,530,18155,10,1,2
11,2022-01-01,2021-12-02,SO61298,214,18155,10,3,1
12,2022-01-01,2021-12-15,SO61298,223,18155,10,2,1
13,2022-01-01,2021-10-01,SO61310,538,13541,8,2,2
14,2022-01-01,2021-11-08,SO61310,584,13541,8,1,1
15,2022-01-01,2021-12-06,SO61270,485,18259,9,1,2
16,2022-01-01,2021-10-31,SO61289,528,23694,1,1,2
17,2022-01-01,2021-11-16,SO61289,536,23694,1,2,2
18,2022-01-01,2021-11-20,SO61289,215,23694,1,3,1
19,2022-01-01,2021-10-12,SO61278,477,22308,10,3,2
20,2022-01-01,2021-09-28,SO61278,479,22308,10,2,1
21,2022-01-01,2021-12-10,SO61278,488,22308,10,4,1
22,2022-01-01,2021-09-25,SO61278,580,22308,10,1,1
23,2022-01-01,2021-10-01,SO61305,583,20236,9,1,1
24,2022-01-01,2021-09-13,SO61283,529,26273,1,2,2
25,2022-01-01,2021-09-27,SO61283,538,26273,1,1,2
26,2022-01-01,2021-09-03,SO61283,220,26273,1,3,1
27,2022-01-01,2021-11-23,SO61288,528,19709,6,1,2
28,2022-01-01,2021-10-30,SO61288,536,19709,6,2,2
29,2022-01-01,2021-11-21,SO61288,220,19709,6,3,1
30,2022-01-01,2021-11-05,SO61272,480,21239,9,2,2
31,2022-01-01,2021-09-08,SO61272,528,21239,9,1,2
32,2022-01-01,2021-11-16,SO61276,223,17252,9,2,3
33,2022-01-01,2021-10-31,SO61276,488,17252,9,1,1
34,2022-01-01,2021-10-21,SO61294,477,17396,4,1,2
35,2022-01-01,2021-10-21,SO61294,484,17396,4,2,2
36,2022-01-01,2021-09-08,SO61274,223,27148,9,1,3
37,2022-01-01,2021-10-08,SO61274,475,27148,9,2,1
38,2022-01-01,2021-11-03,SO61307,215,20260,9,2,1
39,2022-01-01,2021-10-06,SO61307,582,20260,9,1,1
40,2022-01-01,2021-11-06,SO61279,485,12859,10,2,2
41,2022-01-01,2021-12-14,SO61279,362,12859,10,1,1
42,2022-01-01,2021-11-13,SO61271,538,20454,9,1,2
43,2022-01-01,2021-09-23,SO61271,480,20454,9,2,1
44,2022-01-01,2021-09-15,SO61295,480,14751,1,2,2
45,2022-01-01,2021-12-03,SO61295,528,14751,1,1,2
46,2022-01-01,2021-12-07,SO61284,480,27477,4,2,2
47,2022-01-01,2021-11-01,SO61284,538,27477,4,1,2
48,2022-01-01,2021-11-02,SO61290,478,23011,4,1,2
49,2022-01-01,2021-11-26,SO61290,477,23011,4,2,1
50,2022-01-01,2021-09-28,SO61280,214,11891,4,1,1
51,2022-01-01,2021-11-26,SO61309,354,13625,9,1,1
52,2022-01-01,2021-11-01,SO61309,483,13625,9,2,1
53,2022-01-01,2021-09-27,SO61302,477,14486,4,2,2
54,2022-01-01,2021-11-29,SO61302,478,14486,4,3,2
55,2022-01-01,2021-11-28,SO61302,362,14486,4,1,1
56,2022-01-01,2021-11-09,SO61277,223,15050,8,3,2
57,2022-01-01,2021-10-19,SO61277,490,15050,8,2,1
58,2022-01-01,2021-11-03,SO61277,594,15050,8,1,1
59,2022-01-01,2021-12-05,SO61299,528,12411,4,2,2
60,2022-01-01,2021-09-12,SO61299,537,12411,4,1,1
61,2022-01-01,2021-12-06,SO61297,541,12627,10,1,3
62,2022-01-01,2021-11-30,SO61297,477,12627,10,4,2
63,2022-01-01,2021-09-06,SO61297,479,12627,10,3,2
64,2022-01-01,2021-12-14,SO61297,530,12627,10,2,2
65,2022-01-01,2021-11-30,SO61297,489,12627,10,5,1
66,2022-01-01,2021-09-28,SO61306,477,23431,9,3,2
67,2022-01-01,2021-09-23,SO61306,479,23431,9,2,2
68,2022-01-01,2021-09-12,SO61306,580,23431,9,1,1
69,2022-01-01,2021-09-19,SO61275,220,13996,9,1,1
70,2022-01-01,2021-11-14,SO61282,480,11306,4,1,1
71,2022-01-01,2021-10-13,SO61308,477,20246,9,2,2
72,2022-01-01,2021-10-07,SO61308,479,20246,9,3,2
73,2022-01-01,2021-10-25,SO61308,371,20246,9,1,1
74,2022-01-01,2021-09-20,SO61300,477,13164,4,3,2
75,2022-01-01,2021-10-10,SO61300,478,13164,4,2,2
76,2022-01-01,2021-11-24,SO61300,485,13164,4,1,2
77,2022-01-01,2021-10-10,SO61300,471,13164,4,4,1
78,2022-01-01,2021-11-04,SO61293,477,18083,1,1,2
79,2022-01-01,2021-09-19,SO61293,220,18083,1,2,1
80,2022-01-01,2021-10-08,SO61293,232,18083,1,3,1
81,2022-01-01,2021-12-15,SO61311,479,22466,7,2,2
82,2022-01-01,2021-09-03,SO61311,606,22466,7,1,1
83,2022-01-01,2021-09-24,SO61292,477,22012,4,2,2
84,2022-01-01,2021-10-17,SO61292,478,22012,4,1,2
85,2022-01-01,2021-11-04,SO61287,477,15760,6,2,2
86,2022-01-01,2021-10-15,SO61287,478,15760,6,1,2
87,2022-01-01,2021-10-27,SO61287,489,15760,6,3,1
88,2022-01-01,2021-12-01,SO61296,485,14996,8,1,2
89,2022-01-01,2021-09-13,SO61312,566,29082,9,1,1
90,2022-01-01,2021-09-28,SO61273,477,23430,9,1,2
91,2022-01-01,2021-11-24,SO61304,477,12473,10,2,2
92,2022-01-01,2021-11-28,SO61304,479,12473,10,3,2
93,2022-01-01,2021-10-03,SO61304,214,12473,10,4,1
94,2022-01-01,2021-11-16,SO61304,560,12473,10,1,1
95,2022-01-01,2021-11-24,SO61281,539,28808,1,1,3
96,2022-01-01,2021-11-05,SO61303,220,13602,10,2,1
97,2022-01-01,2021-12-17,SO61303,563,13602,10,1,1
98,2022-01-02,2021-11-10,SO61367,477,11099,9,2,2
99,2022-01-02,2021-09-08,SO61367,479,11099,9,3,1
100,2022-01-02,2021-11-08,SO61367,489,11099,9,4,1
101,2022-01-02,2021-09-16,SO61367,575,11099,9,1,1
102,2022-01-02,2021-11-08,SO61315,223,15146,9,5,2
103,2022-01-02,2021-10-09,SO61315,529,15146,9,2,2
104,2022-01-02,2021-12-07,SO61315,220,15146,9,3,1
105,2022-01-02,2021-09-05,SO61315,490,15146,9,4,1
106,2022-01-02,2021-09-19,SO61315,539,15146,9,1,1
107,2022-01-02,2021-10-09,SO61349,541,12563,10,1,3
108,2022-01-02,2021-10-11,SO61349,215,12563,10,3,1
109,2022-01-02,2021-10-03,SO61349,530,12563,10,2,1
110,2022-01-02,2021-11-09,SO61355,226,12563,10,1,1
111,2022-01-02,2021-12-09,SO61370,214,11464,9,2,1
112,2022-01-02,2021-11-13,SO61370,561,11464,9,1,1
113,2022-01-02,2021-11-10,SO61332,528,25967,4,2,2
114,2022-01-02,2021-09-08,SO61332,535,25967,4,1,2
115,2022-01-02,2021-11-23,SO61351,485,11201,4,2,2
116,2022-01-02,2021-09-15,SO61351,214,11201,4,3,1
117,2022-01-02,2021-09-15,SO61351,537,11201,4,1,1
118,2022-01-02,2021-10-11,SO61365,214,20683,4,2,1
119,2022-01-02,2021-11-10,SO61365,582,20683,4,1,1
120,2022-01-02,2021-11-25,SO61320,477,28943,9,2,2
121,2022-01-02,2021-11-01,SO61320,478,28943,9,1,2
122,2022-01-02,2021-10-29,SO61320,214,28943,9,3,1
123,2022-01-02,2021-09-13,SO61362,480,13648,9,2,2
124,2022-01-02,2021-09-28,SO61362,358,13648,9,1,1
125,2022-01-02,2021-09-27,SO61342,528,12497,8,1,3
126,2022-01-02,2021-09-08,SO61342,480,12497,8,3,2
127,2022-01-02,2021-10-19,SO61342,537,12497,8,2,1
128,2022-01-02,2021-11-24,SO61358,485,14456,1,2,2
129,2022-01-02,2021-11-23,SO61358,354,14456,1,1,1
130,2022-01-02,2021-09-14,SO61358,472,14456,1,3,1
131,2022-01-02,2021-10-22,SO61369,565,29084,9,1,1
132,2022-01-02,2021-10-21,SO61319,529,20262,9,1,3
133,2022-01-02,2021-09-07,SO61319,480,20262,9,3,2
134,2022-01-02,2021-12-09,SO61319,538,20262,9,2,2
135,2022-01-02,2021-09-10,SO61364,223,24684,4,2,2
136,2022-01-02,2021-12-05,SO61364,562,24684,4,1,1
137,2022-01-02,2021-09-26,SO61359,354,14420,1,1,1
138,2022-01-02,2021-10-07,SO61343,464,22672,10,1,2
139,2022-01-02,2021-12-09,SO61343,477,22672,10,2,1
